IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.210.119.11,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,55,19.36
47.242.7.162,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,66,15.08
47.243.173.187,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,52,13.09
47.243.42.219,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,48,13.04
47.242.183.7,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,43,11.37
8.210.3.24,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,35,10.27
47.243.5.154,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,41,10.11
47.243.60.150,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,56,9.65
47.242.232.14,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,52,9.56
8.210.244.38,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,52,8.72
8.219.66.156,2096,2096,TRUE,JP,Asia Pacific,Tokyo,191,13.77
47.236.125.62,2096,2096,TRUE,JP,Asia Pacific,Tokyo,218,11.86
8.219.191.110,2096,2096,TRUE,SG,Asia Pacific,Singapore,73,17.6
47.237.11.182,2096,2096,TRUE,SG,Asia Pacific,Singapore,96,12.72
8.219.104.37,2096,2096,TRUE,SG,Asia Pacific,Singapore,100,12.56
47.237.81.112,2096,2096,TRUE,SG,Asia Pacific,Singapore,83,11.96
8.219.126.240,2096,2096,TRUE,SG,Asia Pacific,Singapore,80,11.93
8.219.49.65,2096,2096,TRUE,SG,Asia Pacific,Singapore,96,11.13
8.222.156.242,2096,2096,TRUE,SG,Asia Pacific,Singapore,70,10.92
47.236.237.90,2096,2096,TRUE,SG,Asia Pacific,Singapore,95,10.88
47.236.102.102,2096,2096,TRUE,SG,Asia Pacific,Singapore,79,9.98
8.219.98.13,2096,2096,TRUE,SG,Asia Pacific,Singapore,95,9.94
8.219.201.245,2096,2096,TRUE,SG,Asia Pacific,Singapore,68,8.99
47.236.145.85,2096,2096,TRUE,SG,Asia Pacific,Singapore,96,8.4
