IP地址;端口;回源端口;TLS;数据中心;地区;城市;TCP延迟(ms);速度(MB/s)
8.217.250.222;2096;2096;TRUE;HKG;Asia Pacific;Hong Kong;57;22.97
8.210.65.1;2096;2096;TRUE;HKG;Asia Pacific;Hong Kong;41;22.62
47.243.139.85;2096;2096;TRUE;HKG;Asia Pacific;Hong Kong;55;17.84
8.218.173.78;2096;2096;TRUE;HKG;Asia Pacific;Hong Kong;48;17.71
8.217.164.10;2096;2096;TRUE;HKG;Asia Pacific;Hong Kong;46;16.52
8.218.142.253;2096;2096;TRUE;HKG;Asia Pacific;Hong Kong;57;13.86
47.76.189.102;2096;2096;TRUE;HKG;Asia Pacific;Hong Kong;54;11.55
47.76.32.108;2096;2096;TRUE;HKG;Asia Pacific;Hong Kong;38;8.84
47.243.243.14;2096;2096;TRUE;HKG;Asia Pacific;Hong Kong;55;8.76
47.237.83.20;2096;2096;TRUE;SG;Asia Pacific;SGgapore;100;16.68
8.219.98.13;2096;2096;TRUE;SG;Asia Pacific;SGgapore;88;15.32
47.236.164.215;2096;2096;TRUE;SG;Asia Pacific;SGgapore;89;13.81
8.219.111.175;2096;2096;TRUE;SG;Asia Pacific;SGgapore;89;13.81
47.237.8.82;2096;2096;TRUE;SG;Asia Pacific;SGgapore;73;13.28
8.219.110.81;2096;2096;TRUE;SG;Asia Pacific;SGgapore;89;12.94
8.219.104.37;2096;2096;TRUE;SG;Asia Pacific;SGgapore;96;12.9
8.219.78.1;2096;2096;TRUE;SG;Asia Pacific;SGgapore;69;11.43
47.237.100.206;2096;2096;TRUE;SG;Asia Pacific;SGgapore;78;9.41
47.236.117.48;2096;2096;TRUE;SG;Asia Pacific;SGgapore;88;9.37
8.219.50.180;2096;2096;TRUE;SG;Asia Pacific;SGgapore;99;9.21
8.222.134.170;2096;2096;TRUE;SG;Asia Pacific;SGgapore;90;8.53
8.222.179.231;2096;2096;TRUE;SG;Asia Pacific;SGgapore;82;8.37
8.219.40.37;2096;2096;TRUE;SG;Asia Pacific;SGgapore;93;8.3
8.219.142.191;2096;2096;TRUE;SG;Asia Pacific;SGgapore;73;8.24
